star,mv,bvcolor,observation_id
225213,10.3723043552509,1.46,j134.412
225213,10.3723043552509,1.46,j97.158
225213,10.3723043552509,1.46,j133.128
225213,10.3723043552509,1.46,j156.1034
225213,10.3723043552509,1.46,j02.557
225213,10.3723043552509,1.46,j156.1379
225213,10.3723043552509,1.46,j15.1909
225213,10.3723043552509,1.46,j78.448
225213,10.3723043552509,1.46,j138.587
225213,10.3723043552509,1.46,j59.768
225213,10.3723043552509,1.46,j15.1411
225213,10.3723043552509,1.46,j76.2329
225213,10.3723043552509,1.46,j14.529
225213,10.3723043552509,1.46,j111.66
225213,10.3723043552509,1.46,j161.108
225213,10.3723043552509,1.46,j23.638
225213,10.3723043552509,1.46,j907.151
225213,10.3723043552509,1.46,j158.98
225213,10.3723043552509,1.46,j138.798
225213,10.3723043552509,1.46,j23.180
225213,10.3723043552509,1.46,j64.62
225213,10.3723043552509,1.46,j15.109
225213,10.3723043552509,1.46,j96.405
225213,10.3723043552509,1.46,j885.113
225213,10.3723043552509,1.46,j01.227
225213,10.3723043552509,1.46,j26.530
225213,10.3723043552509,1.46,j907.150
225213,10.3723043552509,1.46,j884.115
225213,10.3723043552509,1.46,j47.355
225213,10.3723043552509,1.46,j21.486
38b,8.72964780042294,1.41,j41.249
38b,8.72964780042294,1.41,j194.554
38b,8.72964780042294,1.41,j157.303
38b,8.72964780042294,1.41,j43.4205
38b,8.72964780042294,1.41,j19.1027
38b,8.72964780042294,1.41,j41.1820
38b,8.72964780042294,1.41,j59.472
38b,8.72964780042294,1.41,j19.277
38b,8.72964780042294,1.41,j23.206
38b,8.72964780042294,1.41,j855.119
38b,8.72964780042294,1.41,j41.1021
38b,8.72964780042294,1.41,j41.1446
38b,8.72964780042294,1.41,j863.134
38b,8.72964780042294,1.41,j01.453
38b,8.72964780042294,1.41,j41.3033
38b,8.72964780042294,1.41,j41.2234
38b,8.72964780042294,1.41,j41.4227
38b,8.72964780042294,1.41,j137.227
38b,8.72964780042294,1.41,j41.3428
38b,8.72964780042294,1.41,j41.2632
38b,8.72964780042294,1.41,j47.747
38b,8.72964780042294,1.41,j96.429
38b,8.72964780042294,1.41,j41.3838
38b,8.72964780042294,1.41,j41.631
38b,8.72964780042294,1.41,j302.91
38a,7.86964780042294,1.41,j01.452
38a,7.86964780042294,1.41,j58.474
38a,7.86964780042294,1.41,j11.1025
38a,7.86964780042294,1.41,j277.76
38a,7.86964780042294,1.41,j59.1083
38a,7.86964780042294,1.41,j855.118
38a,7.86964780042294,1.41,j43.4204
38a,7.86964780042294,1.41,j47.748
38a,7.86964780042294,1.41,j03.153
38a,7.86964780042294,1.41,j23.207
38a,7.86964780042294,1.41,j96.428
38a,7.86964780042294,1.41,j58.202
38a,7.86964780042294,1.41,j863.133
38a,7.86964780042294,1.41,j59.473
38a,7.86964780042294,1.41,j184.166
38a,7.86964780042294,1.41,j857.121
38a,7.86964780042294,1.41,j302.90
38a,7.86964780042294,1.41,j300.89
166,5.44601929514315,0.75,j111.658
166,5.44601929514315,0.75,j246.1294
166,5.44601929514315,0.75,j189.174
166,5.44601929514315,0.75,j26.564
166,5.44601929514315,0.75,j189.1112
166,5.44601929514315,0.75,j251.460
166,5.44601929514315,0.75,j259.140
166,5.44601929514315,0.75,j306.132
166,5.44601929514315,0.75,j189.85
166,5.44601929514315,0.75,j247.464
166,5.44601929514315,0.75,j252.69
166,5.44601929514315,0.75,j333.709
166,5.44601929514315,0.75,j189.731
166,5.44601929514315,0.75,j251.262
166,5.44601929514315,0.75,j111.660
166,5.44601929514315,0.75,j238.327
166,5.44601929514315,0.75,j23.202
166,5.44601929514315,0.75,j190.1008
166,5.44601929514315,0.75,j189.907
166,5.44601929514315,0.75,j189.1308
166,5.44601929514315,0.75,j189.298
166,5.44601929514315,0.75,j19.280
166,5.44601929514315,0.75,j189.297
166,5.44601929514315,0.75,j123.327
166,5.44601929514315,0.75,j84.226
166,5.44601929514315,0.75,j211.105
166,5.44601929514315,0.75,j296.528
166,5.44601929514315,0.75,j26.565
166,5.44601929514315,0.75,j279.270
166,5.44601929514315,0.75,j19.278
166,5.44601929514315,0.75,j222.665
166,5.44601929514315,0.75,j19.279
166,5.44601929514315,0.75,j111.659
166,5.44601929514315,0.75,j241.98
166,5.44601929514315,0.75,j23.201
166,5.44601929514315,0.75,j248.274
166,5.44601929514315,0.75,j156.2013
166,5.44601929514315,0.75,j26.566
166,5.44601929514315,0.75,j233.501
166,5.44601929514315,0.75,j189.296
166,5.44601929514315,0.75,j231.151
166,5.44601929514315,0.75,j165.25
166,5.44601929514315,0.75,j23.200
166,5.44601929514315,0.75,j249.468
166,5.44601929514315,0.75,j43.4203
283,6.13993165564697,0.8,j48.1223
283,6.13993165564697,0.8,j224.76
283,6.13993165564697,0.8,j01.228
283,6.13993165564697,0.8,j49.940
283,6.13993165564697,0.8,j49.535
283,6.13993165564697,0.8,j49.1331
283,6.13993165564697,0.8,j48.829
283,6.13993165564697,0.8,j11.1002
283,6.13993165564697,0.8,j302.288
283,6.13993165564697,0.8,j157.882
377,4.65022414127331,0.63,j03.156
377,4.65022414127331,0.63,j01.229
377,4.65022414127331,0.63,j11.1008
377,4.65022414127331,0.63,j05.1214
377,4.65022414127331,0.63,j300.291
377,4.65022414127331,0.63,j14.98
377,4.65022414127331,0.63,j04.830
377,4.65022414127331,0.63,j61.710
377,4.65022414127331,0.63,j08.1273
377,4.65022414127331,0.63,j03.543
377,4.65022414127331,0.63,j05.912
377,4.65022414127331,0.63,j141.86
377,4.65022414127331,0.63,j15.120
377,4.65022414127331,0.63,j185.592
377,4.65022414127331,0.63,j19.623
377,4.65022414127331,0.63,j08.1617
377,4.65022414127331,0.63,j08.2045
377,4.65022414127331,0.63,j11.221
377,4.65022414127331,0.63,j177.152
377,4.65022414127331,0.63,j192.110
377,4.65022414127331,0.63,j152.953
377,4.65022414127331,0.63,j05.563
377,4.65022414127331,0.63,j82.695
377,4.65022414127331,0.63,j05.115
377,4.65022414127331,0.63,j11.632
531a,4.96297038963735,0.900001,j302.473
531a,4.96297038963735,0.900001,j01.230
531a,4.96297038963735,0.900001,j224.79
531a,4.96297038963735,0.900001,j222.265
531a,4.96297038963735,0.900001,j302.362
531a,4.96297038963735,0.900001,j11.1010
531b,4.16297038963735,0.9,j296.802
531b,4.16297038963735,0.9,j224.80
531b,4.16297038963735,0.9,j01.231
531b,4.16297038963735,0.9,j11.1009
531b,4.16297038963735,0.9,j334.115
531b,4.16297038963735,0.9,j299.115
531b,4.16297038963735,0.9,j222.64
531b,4.16297038963735,0.9,j296.527
hip1368,8.06095470326292,1.42,j222.468
hip1368,8.06095470326292,1.42,j01.446
hip1368,8.06095470326292,1.42,j20.906
hip1368,8.06095470326292,1.42,j03.190
hip1368,8.06095470326292,1.42,j837.115
hip1368,8.06095470326292,1.42,j911.152
hip1368,8.06095470326292,1.42,j911.151
hip1368,8.06095470326292,1.42,j156.805
hip1368,8.06095470326292,1.42,j302.89
hip1368,8.06095470326292,1.42,j106.568
hip1368,8.06095470326292,1.42,j233.316
hip1368,8.06095470326292,1.42,j234.1002
hip1368,8.06095470326292,1.42,j194.556
hip1368,8.06095470326292,1.42,j857.127
hip1368,8.06095470326292,1.42,j240.551
hip1368,8.06095470326292,1.42,j93.828
hip1368,8.06095470326292,1.42,j859.144
1388,4.41258941802031,0.59,j01.232
1388,4.41258941802031,0.59,j11.1003
1388,4.41258941802031,0.59,j193.1329
1388,4.41258941802031,0.59,j177.344
1388,4.41258941802031,0.59,j105.131
1388,4.41258941802031,0.59,j177.343
1388,4.41258941802031,0.59,j59.2251
1388,4.41258941802031,0.59,j161.512
1388,4.41258941802031,0.59,j341.124
1388,4.41258941802031,0.59,j302.471
1326,10.3078830676146,1.56,j123.328
1326,10.3078830676146,1.56,j185.799
1326,10.3078830676146,1.56,j130.1331
1326,10.3078830676146,1.56,j172.417
1326,10.3078830676146,1.56,j43.4202
1326,10.3078830676146,1.56,j02.536
1326,10.3078830676146,1.56,j158.340
1326,10.3078830676146,1.56,j185.800
1326,10.3078830676146,1.56,j126.101
1326,10.3078830676146,1.56,j08.1271
1326,10.3078830676146,1.56,j178.318
1326,10.3078830676146,1.56,j251.264
1326,10.3078830676146,1.56,j130.509
1326,10.3078830676146,1.56,j840.109
1326,10.3078830676146,1.56,j153.526
1326,10.3078830676146,1.56,j165.33
1326,10.3078830676146,1.56,j134.219
1326,10.3078830676146,1.56,j130.914
1326,10.3078830676146,1.56,j130.2309
1326,10.3078830676146,1.56,j158.342
1326,10.3078830676146,1.56,j800.215
1326,10.3078830676146,1.56,j159.123
1326,10.3078830676146,1.56,j195.476
