,C,beta,a0,gamma
88,141.2654267057156,-0.5570808597650376,1.869660246365187,1.3189506280024679
89,153.51205909216395,-0.6103043714475938,1.8910280946369116,1.3574881806165953
90,153.51205909216395,-0.6103043714475938,1.8910280946369116,1.3574881806165953
91,98.34072597760547,-0.34024861786070437,1.7539246715700743,0.9293383318160626
92,98.34072597760547,-0.34024861786070437,1.7539246715700743,0.9293383318160626
93,98.34072597760547,-0.34024861786070437,1.7539246715700743,0.9293383318160626
94,109.72631365148473,-0.3889846937694648,1.7708467752813863,1.0421984543985128
95,84.6771089436614,-0.33461895570910294,1.504252799359392,0.9808198751879886
96,84.6771089436614,-0.33461895570910294,1.504252799359392,0.9808198751879886
97,84.6771089436614,-0.33461895570910294,1.504252799359392,0.9808198751879886
98,100.15043917111217,-0.34066893304968354,1.951169806468127,0.9690805927204523
99,100.15043917111217,-0.34066893304968354,1.951169806468127,0.9690805927204523
100,100.15043917111217,-0.34066893304968354,1.951169806468127,0.9690805927204523
101,100.15043917111217,-0.34066893304968354,1.951169806468127,0.9690805927204523
102,104.16103851454984,-0.37082878963469923,1.7199358492756782,1.085353477020402
103,104.16103851454984,-0.37082878963469923,1.7199358492756782,1.085353477020402
104,104.16103851454984,-0.37082878963469923,1.7199358492756782,1.085353477020402
105,103.8272465110575,-0.36517252225046654,1.6810768066932475,1.1020456164405417
106,103.8272465110575,-0.36517252225046654,1.6810768066932475,1.1020456164405417
107,103.8272465110575,-0.36517252225046654,1.6810768066932475,1.1020456164405417
108,103.8272465110575,-0.36517252225046654,1.6810768066932475,1.1020456164405417
109,97.8883647148586,-0.35784336134026423,1.547295536369919,1.1435808682543864
110,97.8883647148586,-0.35784336134026423,1.547295536369919,1.1435808682543864
111,97.8883647148586,-0.35784336134026423,1.547295536369919,1.1435808682543864
112,97.8883647148586,-0.35784336134026423,1.547295536369919,1.1435808682543864
113,111.71259511852787,-0.4456417683248212,1.9194541418257587,1.0817461612947243
114,111.71259511852787,-0.4456417683248212,1.9194541418257587,1.0817461612947243
115,111.71259511852787,-0.4456417683248212,1.9194541418257587,1.0817461612947243
116,111.71259511852787,-0.4456417683248212,1.9194541418257587,1.0817461612947243
117,106.54417217960278,-0.4580349829268294,1.8762063672859788,1.0857927289796114
118,133.36379238877623,-0.49870722364597025,2.1587572883973847,1.1228925315204503
